Episode,init Max Q-value
0,0.06962911784648895
1,-0.8888329863548279
2,-0.886924147605896
3,-0.8838875889778137
4,-0.9137536883354187
5,-0.8010704517364502
6,-0.7553163170814514
7,-0.9232235550880432
8,-0.8873303532600403
9,-0.8458706736564636
10,-0.8925458788871765
11,-0.8514118790626526
12,-0.8163204789161682
13,-0.8247109651565552
14,-0.8142850399017334
15,-0.7833216786384583
16,-0.8441047072410583
17,-0.7608603835105896
18,-0.8563517332077026
19,-0.8828405141830444
20,-0.8479061126708984
21,-0.8105364441871643
22,-0.8057646751403809
23,-0.8241317868232727
24,-0.82913738489151
25,-0.8233352899551392
26,-0.841777503490448
27,-0.8735647797584534
28,-0.8782814741134644
29,-0.8667476773262024
30,-0.8672662377357483
31,-0.864702045917511
32,-0.877379298210144
33,-0.9002448916435242
34,-0.8744639754295349
35,-0.8938144445419312
36,-0.8717681169509888
37,-0.8653524518013
38,-0.8582844138145447
39,-0.8925138711929321
40,-0.8809900879859924
41,-0.918869137763977
42,-0.9099493622779846
43,-0.8988838195800781
44,-0.8610628247261047
45,-0.914573609828949
46,-0.9271578192710876
47,-0.9313915967941284
48,-0.9206674098968506
49,-0.9273706674575806
50,-0.9324398636817932
51,-0.91571044921875
52,-0.9152592420578003
53,-0.8955811858177185
54,-0.9383429288864136
55,-0.924903392791748
56,-0.9255070090293884
57,-0.8895920515060425
58,-0.9318713545799255
59,-0.9259356260299683
60,-0.9346834421157837
61,-0.8641208410263062
62,-0.9084950685501099
63,-0.936151921749115
64,-0.8843463659286499
65,-0.8853399157524109
66,-0.8565230965614319
67,-0.8344758749008179
68,-0.8921534419059753
69,-0.8996932506561279
70,-0.9092840552330017
71,-0.900661051273346
72,-0.9133410453796387
73,-0.9304612874984741
74,-0.9224852323532104
75,-0.8526358008384705
76,-0.912830114364624
77,-0.9211414456367493
78,-0.8888179659843445
79,-0.897648811340332
80,-0.8747481107711792
81,-0.9010022878646851
82,-0.8822283148765564
83,-0.8907486200332642
84,-0.8814175724983215
85,-0.9218331575393677
86,-0.8768927454948425
87,-0.8781090974807739
88,-0.7630329728126526
89,-0.8691583871841431
90,-0.8745187520980835
91,-0.8864168524742126
92,-0.8334524035453796
93,-0.8889590501785278
94,-0.9009195566177368
95,-0.8885837197303772
96,-0.9057173132896423
97,-0.9093762040138245
98,-0.9115628600120544
99,-0.9121939539909363
100,-0.897445559501648
101,-0.9126399159431458
102,-0.9118753671646118
103,-0.9240618944168091
104,-0.9011342525482178
105,-0.9290371537208557
106,-0.9124594926834106
107,-0.9122413992881775
108,-0.925654411315918
109,-0.9270021319389343
110,-0.933547854423523
111,-0.9337722063064575
112,-0.9353525042533875
113,-0.9322882294654846
114,-0.9358053803443909
115,-0.9366933107376099
116,-0.9396136999130249
117,-0.9386143684387207
118,-0.8609656691551208
119,-0.9188839197158813
120,-0.7594248056411743
121,-0.8377742767333984
122,-0.909644365310669
123,-0.8494292497634888
124,-0.7547125220298767
125,-0.873155415058136
126,-0.8912533521652222
127,-0.9091065526008606
128,-0.8910889625549316
129,-0.8758993744850159
130,-0.871932864189148
131,-0.885307252407074
132,-0.9237868785858154
133,-0.9009792804718018
134,-0.8740441799163818
135,-0.8602653741836548
136,-0.9261915683746338
137,-0.9170634746551514
138,-0.924163818359375
139,-0.9253631830215454
140,-0.945899486541748
141,-0.9256895184516907
142,-0.9119752645492554
143,-0.9278212785720825
144,-0.9228436946868896
145,-0.8911751508712769
146,-0.8906974792480469
147,-0.9034194946289062
148,-0.9007672667503357
149,-0.9180324673652649
150,-0.9268383979797363
151,-0.9353132843971252
152,-0.9162638187408447
153,-0.904198169708252
